station_complex_id,total_from_all_2024,total_to_all_2024,total_from_to_cbd_2024,total_to_from_cbd_2024,GTFS Stop ID,Station ID,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference,is_cbd,total_from_all_2025,total_to_all_2025,total_from_to_cbd_2025,total_to_from_cbd_2025,diff_from_all,diff_to_all,diff_from_to_cbd,diff_to_from_cbd,pct_from_all,pct_to_all,pct_from_to_cbd,pct_to_from_cbd,total_from_all_2024_f,total_to_all_2024_f,total_from_to_cbd_2024_f,total_to_from_cbd_2024_f,total_from_all_2025_f,total_to_all_2025_f,total_from_to_cbd_2025_f,total_to_from_cbd_2025_f,diff_from_all_f,diff_to_all_f,diff_from_to_cbd_f,diff_to_from_cbd_f,pct_from_all_f,pct_to_all_f,pct_from_to_cbd_f,pct_to_from_cbd_f,georef_lon,georef_lat
611,27264940.5592,26518103.2028,11357325.1496,10893960.5992,127,317,IRT,Broadway - 7Av,Times Sq-42 St,M,TRUE,1 2 3,Subway,Uptown,Downtown,1,1,1,NA,POINT (-73.987495 40.75529),TRUE,29215136.4648,28417310.3594,12121209.2472,11666367.1836,1950195.9056,1899207.1566000024,763884.0976,772406.5844,7.15,7.16,6.73,7.09,27264941,26518103,11357325,10893961,29215136,28417310,12121209,11666367,1950196,1899207,763884,772407,7.15,7.16,6.73,7.09,-73.987495,40.75529
515,0,0,0,0,S17,515,SIR,Staten Island,Annadale,SI,FALSE,SIR,Open Cut,Ferry,South Shore,0,0,0,NA,POINT (-74.178217 40.54046),FALSE,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-74.178217,40.54046
627,677598.1612,667163.449,294378.862,296224.5746,S01,139,BMT,Franklin Shuttle,Franklin Av,Bk,FALSE,S,Elevated,Last Stop,Prospect Park,1,1,1,NA,POINT (-73.955827 40.680596),FALSE,703450.7582,693381.5288,298603.5426,305196.3038,25852.597000000067,26218.07979999995,4224.680599999963,8971.729200000002,3.82,3.93,1.44,3.03,677598,667163,294379,296225,703451,693382,298604,305196,25853,26218,4225,8972,3.82,3.93,1.44,3.03,-73.955827,40.680596
349,222307.8422,228274.798,24663.2692,28302.12,254,349,IRT,Eastern Pky,Junius St,Bk,FALSE,3,Elevated,Manhattan,New Lots,0,0,0,NA,POINT (-73.902447 40.663515),FALSE,256252.5674,257959.0726,28447.7516,29616.4738,33944.725199999986,29684.274600000004,3784.482400000001,1314.3538000000008,15.27,13,15.34,4.64,222308,228275,24663,28302,256253,257959,28448,29616,33945,29684,3784,1314,15.27,13,15.34,4.64,-73.902447,40.663515
108,445268.8198,414383.3058,189362.5198,174763.5844,M01,108,BMT,Myrtle Av,Middle Village-Metropolitan Av,Q,FALSE,M,Elevated,Inbound,Last Stop,1,1,1,NA,POINT (-73.889601 40.711396),FALSE,453436.4282,428143.7128,191463.6082,180180.3082,8167.608400000026,13760.407000000008,2101.0883999999787,5416.723800000007,1.83,3.32,1.11,3.1,445269,414383,189363,174764,453436,428144,191464,180180,8168,13760,2101,5417,1.83,3.32,1.11,3.1,-73.889601,40.711396
471,3504435.7132,3597414.7392,1612705.1766,1615798.9076,726,471,IRT,Flushing,34 St-Hudson Yards,M,TRUE,7,Subway,Last Stop,Queens,1,1,1,NA,POINT (-74.00191 40.755882),TRUE,3841388.1928,3979905.222,1760822.2364,1780669.1168,336952.47959999973,382490.4827999999,148117.05980000016,164870.20919999992,9.62,10.63,9.18,10.2,3504436,3597415,1612705,1615799,3841388,3979905,1760822,1780669,336952,382490,148117,164870,9.62,10.63,9.18,10.2,-74.00191,40.755882
457,754310.4436,768695.5588,362904.8036,354116.957,713,457,IRT,Flushing,52 St,Q,FALSE,7,Elevated,Outbound,Manhattan,0,0,0,NA,POINT (-73.912549 40.744149),FALSE,730061.1914,737444.5984,326788.446,326532.303,-24249.252199999988,-31250.96039999998,-36116.35759999999,-27584.65399999998,-3.21,-4.07,-9.95,-7.79,754310,768696,362905,354117,730061,737445,326788,326532,-24249,-31251,-36116,-27585,-3.21,-4.07,-9.95,-7.79,-73.912549,40.744149
373,476489.4734,460742.363,180377.1788,172456.4464,615,373,IRT,Pelham,E 149 St,Bx,FALSE,6,Subway,Northbound,Manhattan,1,1,1,NA,POINT (-73.904098 40.812118),FALSE,522660.9154,505616.0118,192974.5964,184325.7884,46171.44199999998,44873.648799999966,12597.417600000015,11869.342000000004,9.69,9.74,6.98,6.88,476489,460742,180377,172456,522661,505616,192975,184326,46171,44874,12597,11869,9.69,9.74,6.98,6.88,-73.904098,40.812118
97,1558712.9614,1464432.4864,906496.6914,772784.694,M11,97,BMT,Jamaica,Myrtle Av,Bk,FALSE,M J Z,Elevated,Outbound,Manhattan,0,0,0,NA,POINT (-73.935657 40.697207),FALSE,1594353.3534,1545743.2378,921262.4642,811552.0796,35640.39199999999,81310.75139999995,14765.772800000035,38767.38560000004,2.29,5.55,1.63,5.02,1558713,1464432,906497,772785,1594353,1545743,921262,811552,35640,81311,14766,38767,2.29,5.55,1.63,5.02,-73.935657,40.697207
234,2049825.9158,2113332.714,872142.1824,888237.5294,F16,234,IND,6th Av - Culver,East Broadway,M,TRUE,F,Subway,Uptown,Brooklyn,0,0,0,NA,POINT (-73.990173 40.713715),TRUE,2164495.2842,2243148.296,905157.878,935433.7322,114669.36840000004,129815.58199999994,33015.69559999998,47196.20279999997,5.59,6.14,3.79,5.31,2049826,2113333,872142,888238,2164495,2243148,905158,935434,114669,129816,33016,47196,5.59,6.14,3.79,5.31,-73.990173,40.713715
