GTFS Stop ID,Station ID,station_complex_id,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference,is_cbd,total_from_all,total_to_all,total_from_to_cbd,total_to_from_cbd
127,317,611,IRT,Broadway - 7Av,Times Sq-42 St,M,TRUE,1 2 3,Subway,Uptown,Downtown,1,1,1,NA,POINT (-73.987495 40.75529),TRUE,27264940.5592,26518103.202800002,11357325.1496,10893960.5992
S17,515,515,SIR,Staten Island,Annadale,SI,FALSE,SIR,Open Cut,Ferry,South Shore,0,0,0,NA,POINT (-74.178217 40.54046),FALSE,0,0,0,0
S01,139,627,BMT,Franklin Shuttle,Franklin Av,Bk,FALSE,S,Elevated,Last Stop,Prospect Park,1,1,1,NA,POINT (-73.955827 40.680596),FALSE,677598.1612,667163.449,294378.862,296224.5746
254,349,349,IRT,Eastern Pky,Junius St,Bk,FALSE,3,Elevated,Manhattan,New Lots,0,0,0,NA,POINT (-73.902447 40.663515),FALSE,222307.8422,228274.798,24663.2692,28302.12
M01,108,108,BMT,Myrtle Av,Middle Village-Metropolitan Av,Q,FALSE,M,Elevated,Inbound,Last Stop,1,1,1,NA,POINT (-73.889601 40.711396),FALSE,445268.8198,414383.3058,189362.5198,174763.5844
726,471,471,IRT,Flushing,34 St-Hudson Yards,M,TRUE,7,Subway,Last Stop,Queens,1,1,1,NA,POINT (-74.00191 40.755882),TRUE,3504435.7132,3597414.7392,1612705.1766,1615798.9076
713,457,457,IRT,Flushing,52 St,Q,FALSE,7,Elevated,Outbound,Manhattan,0,0,0,NA,POINT (-73.912549 40.744149),FALSE,754310.4436,768695.5588,362904.8036,354116.957
615,373,373,IRT,Pelham,E 149 St,Bx,FALSE,6,Subway,Northbound,Manhattan,1,1,1,NA,POINT (-73.904098 40.812118),FALSE,476489.4734,460742.363,180377.1788,172456.4464
M11,97,97,BMT,Jamaica,Myrtle Av,Bk,FALSE,M J Z,Elevated,Outbound,Manhattan,0,0,0,NA,POINT (-73.935657 40.697207),FALSE,1558712.9614,1464432.4864,906496.6914,772784.694
F16,234,234,IND,6th Av - Culver,East Broadway,M,TRUE,F,Subway,Uptown,Brooklyn,0,0,0,NA,POINT (-73.990173 40.713715),TRUE,2049825.9158,2113332.714,872142.1824,888237.5294
F33,248,248,IND,6th Av - Culver,Avenue N,Bk,FALSE,F,Elevated,Manhattan,Southbound,0,0,0,NA,POINT (-73.974197 40.61514),FALSE,270490.649,258292.4992,105465.0678,94803.8222
233,336,336,IRT,Eastern Pky,Hoyt St,Bk,FALSE,2 3,Subway,Manhattan,Outbound,2,0,1,Outbound only,POINT (-73.985065 40.690545),FALSE,1071243.0764,1071349.995,248735.1118,325159.3244
M05,110,110,BMT,Myrtle Av,Forest Av,Q,FALSE,M,Elevated,Inbound,Middle Village,0,0,0,NA,POINT (-73.903077 40.704423),FALSE,519926.5876,499009.8184,315652.2404,284328.7382
S30,502,502,SIR,Staten Island,Tompkinsville,SI,FALSE,SIR,At Grade,Ferry,South Shore,0,0,0,NA,POINT (-74.074835 40.636949),FALSE,0,0,0,0
R43,37,37,BMT,4th Av,77 St,Bk,FALSE,R,Subway,Manhattan,Bay Ridge,0,0,0,NA,POINT (-74.02551 40.629742),FALSE,630758.8602,593735.816,296049.3956,269676.0838
A36,170,624,IND,8th Av - Fulton St,Chambers St,M,TRUE,A C,Subway,Uptown,Brooklyn,0,0,0,NA,POINT (-74.008585 40.714111),TRUE,7830358.7496,7913626.352,3910775.8476,3701008.6472
