NTA2020,NTAName,total_from_all_2024,total_from_all_2025,diff_from_all,total_from_to_cbd_2024,total_from_to_cbd_2025,diff_from_to_cbd,pct_from_all,pct_from_to_cbd
BK0101,Greenpoint,2398614.81,2790456.21,391841.4,915292.96,1063635.09,148342.13,16.34,16.21
BK0102,Williamsburg,7380687.88,8477719.27,1097031.39,4220346.15,4828571.19,608225.04,14.86,14.41
BK0103,South Williamsburg,2219196.64,2292490.72,73294.09,1097268.47,1078767.9,-18500.57,3.3,-1.69
BK0104,East Williamsburg,4866986.66,5381211.72,514225.06,2500054,2747386.36,247332.36,10.57,9.89
BK0201,Brooklyn Heights,4745856.73,4782260.9,36404.16,2177344.29,2173263.36,-4080.92,0.77,-0.19
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,15251426.75,16168644.28,917217.53,6615499.81,7244010.08,628510.27,6.01,9.5
BK0203,Fort Greene,8701127.86,9282829.96,581702.1,2686517.29,2887802.29,201285,6.69,7.49
BK0204,Clinton Hill,2135653.23,2357514.15,221860.92,1089847.08,1220073.49,130226.42,10.39,11.95
BK0301,Bedford-Stuyvesant (West),5389662.17,5837075.1,447412.93,2491225.4,2716990.95,225765.55,8.3,9.06
BK0302,Bedford-Stuyvesant (East),4038884.47,4613503.19,574618.73,2019344.62,2266592.56,247247.94,14.23,12.24
BK0401,Bushwick (West),4397746.61,4899132.18,501385.57,2383653.56,2614318.91,230665.36,11.4,9.68
BK0402,Bushwick (East),5177855.59,5682694.26,504838.67,2533358.94,2742229.12,208870.18,9.75,8.24
BK0501,Cypress Hills,806331.38,940848.6,134517.21,250001,280793.86,30792.86,16.68,12.32
BK0502,East New York (North),1286889.19,1511782.55,224893.35,373823.17,428290.17,54467,17.48,14.57
BK0503,East New York-New Lots,1370387.18,1450613.33,80226.15,408187.12,418231.77,10044.65,5.85,2.46
BK0505,East New York-City Line,1756486.4,1782221.56,25735.16,686513.82,694023.24,7509.41,1.47,1.09
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,3652022.08,3898178.3,246156.21,1502117.77,1589554.05,87436.28,6.74,5.82
BK0602,Park Slope,4069743.99,4313833.89,244089.9,1839959.21,1953926.08,113966.88,6,6.19
BK0701,Windsor Terrace-South Slope,1484316.9,1533757.05,49440.16,665272.36,697060.15,31787.79,3.33,4.78
BK0702,Sunset Park (West),6688253.06,7391976.74,703723.68,2353400.01,2610021.86,256621.84,10.52,10.9
BK0703,Sunset Park (Central),1452878.25,1654024.34,201146.09,469854.75,526820.27,56965.52,13.84,12.12
